Date,Name,Open,High,Low,Close,Change,%
2023-08-16,GOLD,0.0,0.0,0.0,1904.2,,
2023-08-17,GOLD,0.0,0.0,0.0,1896.4,-7.7999999999999545,-0.41
2023-08-18,GOLD,0.0,0.0,0.0,1893.7,-2.7000000000000455,-0.14
2023-08-21,GOLD,0.0,0.0,0.0,1889.9,-3.7999999999999545,-0.2
2023-08-22,GOLD,0.0,0.0,0.0,1892.8,2.8999999999998636,0.15
2023-08-23,GOLD,0.0,0.0,0.0,1916.7,23.90000000000009,1.25
2023-08-24,GOLD,0.0,0.0,0.0,1917.1,0.3999999999998636,0.02
2023-08-25,GOLD,0.0,0.0,0.0,1915.5,-1.599999999999909,-0.08
2023-08-28,GOLD,0.0,0.0,0.0,1915.5,0.0,0.0
2023-08-29,GOLD,0.0,0.0,0.0,1930.0,14.5,0.75
2023-08-30,GOLD,0.0,0.0,0.0,1947.6,17.59999999999991,0.9
2023-08-31,GOLD,0.0,0.0,0.0,1942.3,-5.2999999999999545,-0.27
2023-09-01,GOLD,0.0,0.0,0.0,1940.6,-1.7000000000000455,-0.09
2023-09-04,GOLD,0.0,0.0,0.0,1937.2,-3.3999999999998636,-0.18
2023-09-05,GOLD,0.0,0.0,0.0,1926.1,-11.100000000000136,-0.58
2023-09-06,GOLD,0.0,0.0,0.0,1922.1,-4.0,-0.21
2023-09-07,GOLD,0.0,0.0,0.0,1918.4,-3.699999999999818,-0.19
2023-09-08,GOLD,0.0,0.0,0.0,1927.8,9.399999999999864,0.49
2023-09-11,GOLD,0.0,0.0,0.0,1925.0,-2.7999999999999545,-0.15
2023-09-12,GOLD,0.0,0.0,0.0,1908.6,-16.40000000000009,-0.86
2023-09-13,GOLD,0.0,0.0,0.0,1913.8,5.2000000000000455,0.27
2023-09-14,GOLD,0.0,0.0,0.0,1901.8,-12.0,-0.63
2023-09-15,GOLD,0.0,0.0,0.0,1927.7,25.90000000000009,1.34
2023-09-18,GOLD,0.0,0.0,0.0,1923.5,-4.2000000000000455,-0.22
2023-09-19,GOLD,0.0,0.0,0.0,1934.9,11.400000000000091,0.59
2023-09-20,GOLD,0.0,0.0,0.0,1943.4,8.5,0.44
2023-09-21,GOLD,0.0,0.0,0.0,1915.0,-28.40000000000009,-1.48
2023-09-22,GOLD,0.0,0.0,0.0,1927.4,12.400000000000091,0.64
2023-09-25,GOLD,0.0,0.0,0.0,1924.9,-2.5,-0.13
2023-09-26,GOLD,0.0,0.0,0.0,1907.1,-17.800000000000182,-0.93
2023-09-27,GOLD,0.0,0.0,0.0,1887.3,-19.799999999999955,-1.05
2023-09-28,GOLD,0.0,0.0,0.0,1873.6,-13.700000000000045,-0.73
2023-09-29,GOLD,0.0,0.0,0.0,1870.5,-3.099999999999909,-0.17
2023-10-02,GOLD,0.0,0.0,0.0,1833.1,-37.40000000000009,-2.04
2023-10-03,GOLD,0.0,0.0,0.0,1822.5,-10.599999999999909,-0.58
2023-10-04,GOLD,0.0,0.0,0.0,1819.0,-3.5,-0.19
2023-10-05,GOLD,0.0,0.0,0.0,1819.5,0.5,0.03
2023-10-06,GOLD,0.0,0.0,0.0,1819.6,0.09999999999990905,0.01
2023-10-09,GOLD,0.0,0.0,0.0,1845.5,25.90000000000009,1.4
2023-10-10,GOLD,0.0,0.0,0.0,1857.0,11.5,0.62
2023-10-11,GOLD,0.0,0.0,0.0,1871.3,14.299999999999955,0.76
2023-10-12,GOLD,0.0,0.0,0.0,1874.0,2.7000000000000455,0.14
2023-10-13,GOLD,0.0,0.0,0.0,1909.2,35.200000000000045,1.84
2023-10-16,GOLD,0.0,0.0,0.0,1918.1,8.899999999999864,0.46
2023-10-17,GOLD,0.0,0.0,0.0,1928.2,10.100000000000136,0.52
2023-10-18,GOLD,0.0,0.0,0.0,1955.7,27.5,1.41
2023-10-19,GOLD,0.0,0.0,0.0,1953.6,-2.1000000000001364,-0.11
2023-10-20,GOLD,0.0,0.0,0.0,1988.5,34.90000000000009,1.76
2023-10-23,GOLD,0.0,0.0,0.0,1973.0,-15.5,-0.79
2023-10-24,GOLD,0.0,0.0,0.0,1963.7,-9.299999999999955,-0.47
2023-10-25,GOLD,0.0,0.0,0.0,1983.3,19.59999999999991,0.99
2023-10-26,GOLD,0.0,0.0,0.0,1975.0,-8.299999999999955,-0.42
2023-10-27,GOLD,0.0,0.0,0.0,1982.9,7.900000000000091,0.4
2023-10-30,GOLD,0.0,0.0,0.0,1997.6,14.699999999999818,0.74
2023-10-31,GOLD,0.0,0.0,0.0,1996.9,-0.6999999999998181,-0.04
2023-11-01,GOLD,0.0,0.0,0.0,1986.4,-10.5,-0.53
2023-11-02,GOLD,0.0,0.0,0.0,1983.6,-2.800000000000182,-0.14
2023-11-03,GOLD,0.0,0.0,0.0,1994.5,10.900000000000091,0.55
2023-11-06,GOLD,0.0,0.0,0.0,1984.6,-9.900000000000091,-0.5
2023-11-07,GOLD,0.0,0.0,0.0,1960.7,-23.899999999999864,-1.22
2023-11-08,GOLD,0.0,0.0,0.0,1959.4,-1.2999999999999545,-0.07
2023-11-09,GOLD,0.0,0.0,0.0,1957.5,-1.900000000000091,-0.1
2023-11-10,GOLD,0.0,0.0,0.0,1941.7,-15.799999999999955,-0.81
2023-11-13,GOLD,0.0,0.0,0.0,1931.2,-10.5,-0.54
2023-11-14,GOLD,0.0,0.0,0.0,1969.1,37.899999999999864,1.92
2023-11-15,GOLD,0.0,0.0,0.0,1958.2,-10.899999999999864,-0.56
2023-11-16,GOLD,0.0,0.0,0.0,1980.1,21.899999999999864,1.11
2023-11-17,GOLD,0.0,0.0,0.0,1981.1,1.0,0.05
2023-11-20,GOLD,0.0,0.0,0.0,1968.7,-12.399999999999864,-0.63
