Date,Open,High,Low,Close
8/16/23,0.0,0.0,0.0,"1,904.2"
8/17/23,0.0,0.0,0.0,"1,896.4"
8/18/23,0.0,0.0,0.0,"1,893.7"
8/21/23,0.0,0.0,0.0,"1,889.9"
8/22/23,0.0,0.0,0.0,"1,892.8"
8/23/23,0.0,0.0,0.0,"1,916.7"
8/24/23,0.0,0.0,0.0,"1,917.1"
8/25/23,0.0,0.0,0.0,"1,915.5"
8/28/23,0.0,0.0,0.0,"1,915.5"
8/29/23,0.0,0.0,0.0,"1,930.0"
8/30/23,0.0,0.0,0.0,"1,947.6"
8/31/23,0.0,0.0,0.0,"1,942.3"
9/1/23,0.0,0.0,0.0,"1,940.6"
9/4/23,0.0,0.0,0.0,"1,937.2"
9/5/23,0.0,0.0,0.0,"1,926.1"
9/6/23,0.0,0.0,0.0,"1,922.1"
9/7/23,0.0,0.0,0.0,"1,918.4"
9/8/23,0.0,0.0,0.0,"1,927.8"
9/11/23,0.0,0.0,0.0,"1,925.0"
9/12/23,0.0,0.0,0.0,"1,908.6"
9/13/23,0.0,0.0,0.0,"1,913.8"
9/14/23,0.0,0.0,0.0,"1,901.8"
9/15/23,0.0,0.0,0.0,"1,927.7"
9/18/23,0.0,0.0,0.0,"1,923.5"
9/19/23,0.0,0.0,0.0,"1,934.9"
9/20/23,0.0,0.0,0.0,"1,943.4"
9/21/23,0.0,0.0,0.0,"1,915.0"
9/22/23,0.0,0.0,0.0,"1,927.4"
9/25/23,0.0,0.0,0.0,"1,924.9"
9/26/23,0.0,0.0,0.0,"1,907.1"
9/27/23,0.0,0.0,0.0,"1,887.3"
9/28/23,0.0,0.0,0.0,"1,873.6"
9/29/23,0.0,0.0,0.0,"1,870.5"
10/2/23,0.0,0.0,0.0,"1,833.1"
10/3/23,0.0,0.0,0.0,"1,822.5"
10/4/23,0.0,0.0,0.0,"1,819.0"
10/5/23,0.0,0.0,0.0,"1,819.5"
10/6/23,0.0,0.0,0.0,"1,819.6"
10/9/23,0.0,0.0,0.0,"1,845.5"
10/10/23,0.0,0.0,0.0,"1,857.0"
10/11/23,0.0,0.0,0.0,"1,871.3"
10/12/23,0.0,0.0,0.0,"1,874.0"
10/13/23,0.0,0.0,0.0,"1,909.2"
10/16/23,0.0,0.0,0.0,"1,918.1"
10/17/23,0.0,0.0,0.0,"1,928.2"
10/18/23,0.0,0.0,0.0,"1,955.7"
10/19/23,0.0,0.0,0.0,"1,953.6"
10/20/23,0.0,0.0,0.0,"1,988.5"
10/23/23,0.0,0.0,0.0,"1,973.0"
10/24/23,0.0,0.0,0.0,"1,963.7"
10/25/23,0.0,0.0,0.0,"1,983.3"
10/26/23,0.0,0.0,0.0,"1,975.0"
10/27/23,0.0,0.0,0.0,"1,982.9"
